Person_ID,Study_ID,Site_no,Site_ID,Site_name,Country,Detailed_location,Latitude_deg,Latitude_min,Latitude_sec,Longitude_deg,Longitude_min,Longitude_sec,Lat_dec_deg,Lon_dec_deg,Habitat_type,Habitat_type_combined,Habitat_type_combined2,forest_biome,historical_fire_frequency,baseline_disturbance,plantation,exp_obs,before_after,controlled,blocked/paired,randomized,plot_area,location_source,historical_fire_frequency_biome,Internal_validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Silveira_2016,1,Silveira_2016_1,Tapajós-Arapiuns Extractive Reserve,Brazil,Tapajós-Arapiuns Extractive Reserve (control-once burnt),-3,-23,-30,-55,-20,-43,-3.39,-55.35,Tropical evergreen broadleaf forest,Forest,Forest,tropical/subtropical seasonal forest,-999,no detail provided,natural forest,Observational,FALSE,TRUE,FALSE,FALSE,-999,Precise location in paper,148,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Silveira_2016,2,Silveira_2016_2,Tapajós-Arapiuns Extractive Reserve,Brazil,Tapajós-Arapiuns Extractive Reserve (control-thrice burnt),-3,-23,-30,-55,-20,-43,-3.39,-55.35,Tropical evergreen broadleaf forest,Forest,Forest,tropical/subtropical seasonal forest,-999,no detail provided,natural forest,Observational,FALSE,TRUE,FALSE,FALSE,-999,Precise location in paper,148,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Pyle_1996,1,Pyle_1996_1,Hart Mountain National Antelope Refuge,United States of America,Hart Mountain National Antelope Refuge (control-spring burn),,,,,,,42.55,-119.66,Grassland,Grassland,Grassland,,-999,,,Experimental,FALSE,TRUE,TRUE,TRUE,3000,Derived from location description,123,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Pyle_1996,2,Pyle_1996_2,Hart Mountain National Antelope Refuge,United States of America,Hart Mountain National Antelope Refuge (control-fall burn),,,,,,,42.55,-119.66,Grassland,Grassland,Grassland,,-999,,,Experimental,FALSE,TRUE,TRUE,TRUE,3000,Derived from location description,123,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Beucke_2009,1,Beucke_2009_1,Long Island Pine Barrens,United States of America,"‘Pine Barrens’ of Long Island, New York
(LIPB) (unburned 1 vs burned in Westhampton)",,,,,,,40.87,-72.63,Warm temperate evergreen and mixed forest,Forest,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,75,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Beucke_2009,3,Beucke_2009_3,Long Island Pine Barrens,United States of America,"‘Pine Barrens’ of Long Island, New York
(LIPB) (unburned 2 vs burned in Westhampton)",,,,,,,40.87,-72.63,Warm temperate evergreen and mixed forest,Forest,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-998,Derived from location description,75,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Beucke_2009,2,Beucke_2009_2,Long Island Pine Barrens,United States of America,"‘Pine Barrens’ of Long Island, New York
(LIPB) (unburned vs burned in Rocky Point)",,,,,,,40.92,-72.93,Warm temperate evergreen and mixed forest,Forest,Forest,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,75,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Seastedt_1984,1,Seastedt_1984_1,Konza Prairie,United States of America,"Konza Prairie Research Natural Area in the Flint Hills, ap-
 proximately 20 km S of Manhattan, Kansas (unburned vs burnt)",,,,,,,39.11,-96.61,Grassland,Grassland,Grassland,,-999,,,Observational,FALSE,TRUE,FALSE,FALSE,-999,Derived from location description,123,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Collett_2000,1,Collett_2000_1,Powelltown,Australia,"E. regnans forest near the 
township ofPowelltown, Victoria, approximately 80 km east 
of Melbourne (unburned vs low elevantion burnt) (control (37"" 49' S, 145"" 46' E)",-37,-52,,145,48,,-37.87,145.8,Evergreen needleleaf forest,Forest,Forest,,18.75,,,Observational,FALSE,TRUE,TRUE,FALSE,251.2,Precise location in paper,291,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niamh,Collett_2000,2,Collett_2000_2,Powelltown,Australia,"E. regnans forest near the 
township ofPowelltown, Victoria, approximately 80 km east 
of Melbourne (unburned vs high elevantion burnt) ((control (37"" 49' S, 145"" 46' E))",-37,-48,,145,50,,-37.8,145.83,Evergreen needleleaf forest,Forest,Forest,,18.75,,,Observational,FALSE,TRUE,TRUE,FALSE,251.2,Precise location in paper,291,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
